Code for Niigata,Code for Kusatsu,0.720082299823096
Code for Akita,Code for Shiga / Biwako,0.672672793996313
Code for Akita,Code for Suginami,0.667124384994991
Code for SUSONO,Code for Hachioji,0.657375735133917
Code for Shiga / Biwako,Code for Suginami,0.648203723552164
Code for Sabae,Code for Shiga / Biwako,0.643119694284408
Code for TODA,Code for NAGAREYAMA ,0.632455532033676
Code for NAGAREYAMA ,Code for Kusatsu,0.623609564462324
Code for Kusatsu,Code for Fukuoka,0.617213399848368
Code for Niigata,Code for Saga,0.617213399848368
Code for Sabae,Code for Suginami,0.614192268639994
Code for Kobe,Code for Kusatsu,0.613139339484966
Code for SAITAMA,Code for Shiga / Biwako,0.606339062590832
Code for Sabae,CODE for AIZU,0.600245047998781
Code for Mitaka / Musashino,Code for INAGI ,0.594811877479463
Code for Kusatsu,Code for Akita,0.592999453328881
Code for TODA,Code for Saga,0.591607978309962
Code for TODA,Code for Kusatsu,0.591607978309962
Code for Sabae,Code for MIKAWA,0.589767824619589
Code for Sabae,Code for Akita,0.588348405414552
Code for Kusatsu,Code for Shiga / Biwako,0.583383351196948
Code for kumagaya,Code for SAITAMA,0.583333333333333
Code for Niigata,Code for 中野,0.58025885318566
Code for Sabae,Code for Niigata,0.578351744823806
Code for MIKAWA,Code for Akita,0.57831493196624
Code for Niigata,Code for kumagaya,0.577350269189626
Code for Kusatsu,Code for Saga,0.571428571428572
Code for Kusatsu,Code for Suginami,0.571428571428572
Code for 中野,Code for Aomori,0.56980288229819
Code for Mitaka / Musashino,Code for Fuchu,0.568535243614961
Code for Sabae,Code for Nagoya,0.567774973957669
Code for Mitaka / Musashino,Code for Suginami,0.566946709513841
Code for Akita,Code for Muroran,0.566138517072298
Code for Niigata,Code for Suginami,0.565778949861004
Code for 中野,Code for Kusatsu,0.564076074817766
Code for Fuchu,Code for Saga,0.564076074817766
ハウモリ ,Code for SUSONO,0.564076074817766
Code for Niigata,Code for MIKAWA,0.56180064773359
Code for Niigata,Code for Shiga / Biwako,0.560112033611204
Code for Sabae,Code for TODA,0.559016994374947
Code for Hachioji,Code for Akita,0.558156305651438
Code for Sabae,Code for Hachioji,0.553398590529466
Code for INAGI ,Code for Fuchu,0.55337157109286
Code for Kobe,Code for Fuchu,0.55337157109286
Code for Sasayama+Tamba,Code for INAGI ,0.55337157109286
Code for Kobe,Code for Saga,0.551825405536469
Code for SUSONO,Code for Kobe,0.551825405536469
Code for Mitaka / Musashino,Code for NAGAREYAMA ,0.54997194092287
Code for Niigata,Code for TODA,0.547722557505166
Code for Sasayama+Tamba,Code for SAKE,0.544949260913066
Code for Niigata,Code for Mitaka / Musashino,0.544331053951817
Code for Hachioji,CODE for AIZU,0.54232614454664
Code for NAGAREYAMA ,Code for Kobe,0.535303379031311
Code for SUSONO,Code for NAGAREYAMA ,0.534522483824849
Code for SUSONO,Code for SAITAMA,0.534522483824849
Code for Mitaka / Musashino,Code for Aomori,0.534522483824849
Code for Niigata,Code for Akita,0.533760512683624
CODE for GIFU,Code for Nagoya,0.533113989983183
Code for Fuchu,Code for AICHI,0.532181156390174
Code for Mitaka / Musashino,Code for SAITAMA,0.530330085889911
Code for Sabae,Code for Gumyoji,0.530330085889911
Code for Niigata,Code for Nagoya,0.529812942826017
Code for Niigata,Code for INAGI ,0.529812942826017
Code for SAITAMA,Code for Fuchu,0.527644853011086
Code for Sabae,Code for INAGI ,0.527219618674978
Code for Mitaka / Musashino,Code for Hachioji,0.52704627669473
Code for TODA,Code For Kitakyusyu,0.52704627669473
Code for TODA,Code for Gumyoji,0.52704627669473
Code for TODA,Code for Akita,0.526234811584218
Code for MIKAWA,Code for INAGI ,0.526201360558434
Code for Aomori,Code for Akita,0.524142418360959
Code for Sabae,Code for Kusatsu,0.519701150387687
Code for Kusatsu,CODE for AIZU,0.518562978841732
Code for Saga,Code for Shiga / Biwako,0.518562978841732
CODE for AIZU,Code for Suginami,0.518562978841732
Code for Gumyoji,Code for SAKE,0.516397779494322
Code for Niigata,Code for Hachioji,0.516397779494322
Code for Mitaka / Musashino,Code for Shiga / Biwako,0.514495755427527
Code for SUSONO,Code for Niigata,0.51434449987364
Code for Niigata,CODE for AIZU,0.51343603081027
Code for Niigata,Code for NAGAREYAMA ,0.513200239279667
Code for Hachioji,Code for INAGI ,0.512989176042577
Code for MIKAWA,Code for Muroran,0.510753918455249
Code for SUSONO,Code for TODA,0.50709255283711
Code for MIKAWA,Code for Shiga / Biwako,0.505721737424174
Code for Aomori,Code for Suginami,0.505076272276105
Code for Aomori,Code for Kusatsu,0.505076272276105
Code for Mitaka / Musashino,Code for Kusatsu,0.50395263067897
Code for NAGAREYAMA ,Code for Aomori,0.50395263067897
Code For Kitakyusyu,Code for Aomori,0.50395263067897
Code for WAKO,Code for Aomori,0.50395263067897
Code for Gumyoji,Code for Fuchu,0.502518907629606
Code for WAKO,Code for 中野,0.502518907629606
ハウモリ ,Code for NAGAREYAMA ,0.502518907629606
ハウモリ ,Code for Gumyoji,0.502518907629606
Code for NAGAREYAMA ,Code for 中野,0.502518907629606
