0,グラレコ・ファシリテーション,技術
1,ノーコード,技術
2,産業,社会課題
3,医療,社会課題
4,ドローン,技術
5,教育,社会課題
6,課題解決思考,技術
7,公園,社会課題
8,チャレンジオープンガバナンス,イベント
9,COVID-19,社会課題
10,SNS,技術
11,林業,社会課題
12,環境,社会課題
13,WEB,技術
14,FOSS4G,イベント
15,地域アーカイブ,社会課題
16,機械学習,技術
17,ロボット,技術
18,食,社会課題
19,農業,社会課題
20,健康,社会課題
21,SDGs,社会課題
22,祭り,社会課題
23,Wikipedia・Wikidata,技術
24,Maker Faire,イベント
25,地図、トマソン,社会課題
26,異文化交流,社会課題
27,宇宙,社会課題
28,文化,社会課題
29,プログラミング,技術
30,人材育成,社会課題
31,Startup Weekend,イベント
32,ゲーム,技術
33,日本酒,社会課題
34,交通,社会課題
35,障害者支援,社会課題
36,市民活動連携・地域活動連携,社会課題
37,都市計画,社会課題
38,オープンデータ,技術
39,防災,社会課題
40,LGBTQ・ジェンダー,社会課題
41,福祉,社会課題
42,Call for Code,イベント
43,高齢者支援,社会課題
44,まちづくり,社会課題
45,スタートアップ,社会課題
46,道路,社会課題
47,ブロックチェーン,技術
48,IoT,技術
49,公共施設,社会課題
50,河川,社会課題
51,防犯,社会課題
52,GUGEN,イベント
53,観光,社会課題
54,RESASアプリコンテスト,イベント
55,LODチャレンジ,イベント
56,官民協働,社会課題
57,アーバンデータチャレンジ,イベント
58,オープンソースカンファレンス,イベント
59,GIS・位置空間情報,技術
60,チャットボット,技術
61,可視化,技術
62,NASA Space Apps Challenge,イベント
63,商店街活性化,社会課題
64,MA ヒーローズリーグ,イベント
65,子育て,社会課題
66,スマートスピーカー,技術
67,地方創生☆政策アイデアコンテスト,イベント
68,生活,社会課題
69,通信（5GやLoRaなど）,技術
70,政治,社会課題
